"Assay",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax","grp"
"IFN-gamma","NPX.norm","EGFRvIII CAR","EGFRvIII CAR + aCD47",6,6,30,0.065,0.21125,"ns",14.44348,7,8,"EGFRvIII CAR_EGFRvIII CAR + aCD47"
"IFN-gamma","NPX.norm","EGFRvIII CAR","EGFRvIII-SGRP CAR",6,6,14,0.589,0.7657,"ns",16.56504,7,9,"EGFRvIII CAR_EGFRvIII-SGRP CAR"
"IFN-gamma","NPX.norm","CD19 CAR","EGFRvIII CAR",6,6,0,0.002,0.00742857142857143,"**",18.6866,5,7,"CD19 CAR_EGFRvIII CAR"
"IFN-gamma","NPX.norm","CD19-SGRP CAR","EGFRvIII-SGRP CAR",6,6,3,0.015,0.0557142857142857,"ns",20.80816,6,9,"CD19-SGRP CAR_EGFRvIII-SGRP CAR"
"IFN-gamma","NPX.norm","CD19 CAR","CD19-SGRP CAR",6,6,2,0.009,0.117,"ns",22.92972,5,6,"CD19 CAR_CD19-SGRP CAR"
"IFN-gamma","NPX.norm","EGFRvIII CAR + aCD47","EGFRvIII-SGRP CAR",6,6,8,0.132,0.2145,"ns",25.05128,8,9,"EGFRvIII CAR + aCD47_EGFRvIII-SGRP CAR"
"IFN-gamma","NPX.norm","aCD47","EGFRvIII CAR + aCD47",6,6,0,0.002,0.026,"*",27.17284,4,8,"aCD47_EGFRvIII CAR + aCD47"
"TNFSF14","NPX.norm","EGFRvIII CAR","EGFRvIII CAR + aCD47",6,6,33,0.015,0.065,"ns",4.87348,7,8,"EGFRvIII CAR_EGFRvIII CAR + aCD47"
"TNFSF14","NPX.norm","EGFRvIII CAR","EGFRvIII-SGRP CAR",6,6,23,0.485,0.7657,"ns",6.99504,7,9,"EGFRvIII CAR_EGFRvIII-SGRP CAR"
"TNFSF14","NPX.norm","CD19 CAR","EGFRvIII CAR",6,6,0,0.002,0.00742857142857143,"**",9.1166,5,7,"CD19 CAR_EGFRvIII CAR"
"TNFSF14","NPX.norm","CD19-SGRP CAR","EGFRvIII-SGRP CAR",6,6,0,0.002,0.0104,"*",11.23816,6,9,"CD19-SGRP CAR_EGFRvIII-SGRP CAR"
"TNFSF14","NPX.norm","CD19 CAR","CD19-SGRP CAR",6,6,17,0.937,0.97448,"ns",13.35972,5,6,"CD19 CAR_CD19-SGRP CAR"
"TNFSF14","NPX.norm","EGFRvIII CAR + aCD47","EGFRvIII-SGRP CAR",6,6,0,0.002,0.0173333333333333,"*",15.48128,8,9,"EGFRvIII CAR + aCD47_EGFRvIII-SGRP CAR"
"TNFSF14","NPX.norm","aCD47","EGFRvIII CAR + aCD47",6,6,4,0.026,0.112666666666667,"ns",17.60284,4,8,"aCD47_EGFRvIII CAR + aCD47"
"CCL3","NPX.norm","EGFRvIII CAR","EGFRvIII CAR + aCD47",6,6,27,0.18,0.246315789473684,"ns",2.47548,7,8,"EGFRvIII CAR_EGFRvIII CAR + aCD47"
"CCL3","NPX.norm","EGFRvIII CAR","EGFRvIII-SGRP CAR",6,6,0,0.002,0.052,"ns",4.59704,7,9,"EGFRvIII CAR_EGFRvIII-SGRP CAR"
"CCL3","NPX.norm","CD19 CAR","EGFRvIII CAR",6,6,6,0.065,0.112666666666667,"ns",6.7186,5,7,"CD19 CAR_EGFRvIII CAR"
"CCL3","NPX.norm","CD19-SGRP CAR","EGFRvIII-SGRP CAR",6,6,0,0.002,0.0104,"*",8.84016,6,9,"CD19-SGRP CAR_EGFRvIII-SGRP CAR"
"CCL3","NPX.norm","CD19 CAR","CD19-SGRP CAR",6,6,15,0.699,0.9087,"ns",10.96172,5,6,"CD19 CAR_CD19-SGRP CAR"
"CCL3","NPX.norm","EGFRvIII CAR + aCD47","EGFRvIII-SGRP CAR",6,6,0,0.002,0.0173333333333333,"*",13.08328,8,9,"EGFRvIII CAR + aCD47_EGFRvIII-SGRP CAR"
"CCL3","NPX.norm","aCD47","EGFRvIII CAR + aCD47",6,6,17,0.937,1,"ns",15.20484,4,8,"aCD47_EGFRvIII CAR + aCD47"
