Filename	Nr. Measurements before cleaning	Nr. Measurements after cleaning	% Full analysis	Analysis by	% IT analysis	% MAD analysis	% Consecutive cells	MAD	IT limit	Consecutive bins	Events per bin	Increasing/Decreasing channel
file3a1d433c0786	70528	64500	8.54696007259528	all	0	8.54696007259528	0	6	0.55	5	500	No increasing or decreasing effect
file3a1d1a1210e6	21746	19746	9.19709371838499	all	NA	9.19709371838499	0	6	0.55	5	500	No increasing or decreasing effect
file3a1d18137969	24977	22000	11.9189654482124	all	NA	11.9189654482124	0	6	0.55	5	500	No increasing or decreasing effect
file3a1d2687e8d8	73035	67250	7.92085986171014	all	1.02690490860546	7.2362565893065	0	6	0.55	5	500	No increasing or decreasing effect
file3a1d24c7d0ab	47298	43250	8.55850141655038	all	0.10148420652036	8.45701721003002	0	6	0.55	5	500	No increasing or decreasing effect
file3a1d3a549d6a	39848	36500	8.40192732383056	all	1.88215217827745	7.14715920497892	0	6	0.55	5	500	No increasing or decreasing effect
file3a1d92ab811	40391	37141	8.04634695848085	all	3.71369859622193	4.95159812829591	0	6	0.55	5	500	No increasing or decreasing effect
file3a1d539a68ca	18477	16727	9.47123450776641	all	NA	9.47123450776641	0	6	0.55	5	500	No increasing or decreasing effect
file3a1d3e55d0a7	28459	26209	7.90611054499455	all	NA	7.90611054499455	0	6	0.55	5	500	No increasing or decreasing effect
file3a1d73f5a3e9	48270	44500	7.81023409985498	all	3.62544023202818	5.73855396726745	0	6	0.55	5	500	No increasing or decreasing effect
file3a1d433c0786	70528	64500	8.54696007259528	all	0	8.54696007259528	0	6	0.55	5	500	No increasing or decreasing effect
file3a1d1a1210e6	21746	19746	9.19709371838499	all	NA	9.19709371838499	0	6	0.55	5	500	No increasing or decreasing effect
file3a1d18137969	24977	22000	11.9189654482124	all	NA	11.9189654482124	0	6	0.55	5	500	No increasing or decreasing effect
file3a1d2687e8d8	73035	67250	7.92085986171014	all	1.02690490860546	7.2362565893065	0	6	0.55	5	500	No increasing or decreasing effect
file3a1d24c7d0ab	47298	43250	8.55850141655038	all	0.10148420652036	8.45701721003002	0	6	0.55	5	500	No increasing or decreasing effect
file3a1d3a549d6a	39848	36500	8.40192732383056	all	1.88215217827745	7.14715920497892	0	6	0.55	5	500	No increasing or decreasing effect
file3a1d92ab811	40391	37141	8.04634695848085	all	3.71369859622193	4.95159812829591	0	6	0.55	5	500	No increasing or decreasing effect
file3a1d539a68ca	18477	16727	9.47123450776641	all	NA	9.47123450776641	0	6	0.55	5	500	No increasing or decreasing effect
file3a1d3e55d0a7	28459	26209	7.90611054499455	all	NA	7.90611054499455	0	6	0.55	5	500	No increasing or decreasing effect
file3a1d73f5a3e9	48270	44500	7.81023409985498	all	3.62544023202818	5.73855396726745	0	6	0.55	5	500	No increasing or decreasing effect
