"name","Filename","Nr..Measurements.before.cleaning","Nr..Measurements.after.cleaning","X..Full.analysis","Analysis.by","X..IT.analysis","X..MAD.analysis","X..Consecutive.cells","MAD","IT.limit","Consecutive.bins","Events.per.bin","Increasing.Decreasing.channel"
"CD19_A1 01_30-NM_CD19_2024_05_17_22_32_22_live.fcs","file62b33b97e515",21719,21719,0,"all",NA,0,0,6,0.55,5,500,"No increasing or decreasing effect"
"CD19_B1 02_30-1R_CD19_2024_05_17_22_38_25_live.fcs","file62b37140e443",9255,8000,13.56023771,"all",NA,13.56023771,0,6,0.55,5,500,"Decreasing channel"
"CD19_C1 03_30-1L_CD19_2024_05_17_22_40_59_live.fcs","file62b35b4a24cb",12121,12121,0,"all",NA,0,0,6,0.55,5,500,"Decreasing channel"
"CD19_D1 07_30-2R_CD19_2024_05_17_22_43_01_live.fcs","file62b360b5ba3f",61830,61830,0,"all",0,0,0,6,0.55,5,500,"No increasing or decreasing effect"
"CD19_E1 08_30-2L_CD19_2024_05_17_22_46_50_live.fcs","file62b33ad6afb3",48290,48290,0,"all",0,0,0,6,0.55,5,500,"No increasing or decreasing effect"
"CD19_F1 09_30-1R1L_CD19_2024_05_17_22_48_52_live.fcs","file62b364a92ef2",54208,54208,0,"all",0,0,0,6,0.55,5,500,"No increasing or decreasing effect"
"CD19-SGRP_A3 04_31-NM_CD19-SGRP_2024_05_17_22_55_04_live.fcs","file62b31f49457f",10197,9750,4.383642248,"all",NA,4.383642248,0,6,0.55,5,500,"Decreasing channel"
"CD19-SGRP_B3 05_31-1R_CD19-SGRP_2024_05_17_22_57_06_live.fcs","file62b3371a4e5",7053,6500,7.840635191,"all",NA,7.840635191,0,6,0.55,5,500,"Increasing and decreasing channel"
"CD19-SGRP_C3 06_31-1L_CD19-SGRP_2024_05_17_22_59_09_live.fcs","file62b31a00b827",11410,9750,14.54864154,"all",NA,14.54864154,0,6,0.55,5,500,"No increasing or decreasing effect"
"CD19-SGRP_D3 10_31-2R_CD19-SGRP_2024_05_17_23_01_10_live.fcs","file62b3253a15c7",40689,39750,2.307749023,"all",0,2.307749023,0,6,0.55,5,500,"No increasing or decreasing effect"
"CD19-SGRP_E3 11_31-2L_CD19-SGRP_2024_05_17_23_03_17_live.fcs","file62b386bcee9",41939,41939,0,"all",0,0,0,6,0.55,5,500,"No increasing or decreasing effect"
"CD19-SGRP_F3 12_31-1R1L_CD19-SGRP_2024_05_17_23_05_19_live.fcs","file62b35ddd2750",54660,54660,0,"all",0,0,0,6,0.55,5,500,"No increasing or decreasing effect"
