,CD163,CD206,HLA.DR,CD86,CD209,Siglec1,U251vIII_Phagocytosis.Fraction,U87_Phagocytosis.Fraction,CD163.Fraction,CD206.Fraction,HLA.DR.Fraction,CD209.Fraction,Siglec1.Fraction,SSC.A.Tcells,FSC.A.Tcells,mCherry.Tcells,CD3.Tcells,
A1 HD23_CD19_mosaic.fcs,60551,86265,"4,49E5",123323,-669,11147,"16,5","4,54","86,7","91,6","97,8","1,51","63,3",167936,"4,53E5",22595,112978,
A3 HD23_CD19-SGRP_mosaic.fcs,60551,60002,"4,58E5",136589,-440,12509,"11,1","4,71","86,6","90,2","96,9","2,15","66,6",197632,"4,80E5",13135,144742,
A5 HD23_EGFRvIII_mosaic.fcs,62039,68380,"5,04E5",124858,"95,3",12375,"12,6","3,34","88,3","91,8","97,9","4,03","64,8",208896,"4,28E5",11540,76442,
A7 HD23_EGFRvIII-SGRP_mosaic.fcs,58388,62988,"4,98E5",139153,-191,11571,"10,8","4,00","86,8","91,1","97,8","2,22","62,8",220160,"4,23E5",9322,83949,
A9 HD23_Macs_mosaic.fcs,52210,55460,"4,32E5",119568,-1325,11540,"12,0","3,75","86,9","90,1","97,2","0,23","66,6",193536,157696,2170,41305,
A12 FMO_CTG.fcs,73797,31187,269354,116288,"61,5",73742,"2,17","10,6","83,7","82,8","95,3","3,66","89,6",196608,352256,5613,97545,
C1 HD24_CD19_mosaic.fcs,111025,42696,"4,07E5",180648,256,18621,"12,0","26,5","92,0","90,4","96,6","2,46","82,1",146432,"4,35E5",22083,132122,
C3 HD24_CD19-SGRP_mosaic.fcs,112752,44523,"4,16E5",162014,-1822,19648,"7,05","3,16","89,6","90,5","96,9","0,29","79,9",150528,"4,39E5",7501,148491,
C5 HD24_EGFRvIII_mosaic.fcs,137865,76788,"4,90E5",184629,874,16414,"9,65","7,88","90,4","92,1","98,4","7,40","77,4",195584,371712,9060,84253,
C7 HD24_EGFRvIII-SGRP_mosaic.fcs,116648,51429,"4,10E5",186362,-553,16598,"14,3","6,03","88,5","90,8","97,8","4,17","75,3",197632,393216,6959,105445,
C9 HD24_Macs_mosaic.fcs,105028,40463,"4,31E5",161010,-163,18104,"15,3","24,5","92,4","91,8","96,9","0,55","82,4",181248,177152,2337,38508,
E1 HD25_CD19_mosaic.fcs,111368,48279,"5,27E5",119199,-860,48863,"10,9","9,11","88,5","90,4","97,2","1,76","89,4",130048,"4,16E5",9950,143165,
E3 HD25_CD19-SGRP_mosaic.fcs,101841,48716,"5,61E5",114506,-408,43081,"15,0","7,69","90,8","92,9","98,9","1,55","90,1",166912,"4,46E5",9693,150677,
E5 HD25_EGFRvIII_mosaic.fcs,100594,58743,"6,76E5",129583,1134,45194,"13,1","11,9","90,6","93,2","98,7","7,26","88,8",227328,354304,7171,87350,
E7 HD25_EGFRvIII-SGRP_mosaic.fcs,96947,55966,"6,03E5",137013,-465,47417,"8,03","10,1","90,1","94,0","98,5","1,66","90,5",239616,"4,17E5",10134,80394,
E9 HD25_Macs_mosaic.fcs,106990,48570,"6,05E5",98753,-1084,39159,"19,7","10,9","89,8","90,8","97,2","0,47","88,1",260096,266240,2055,37841,
G1 HD26_CD19_mosaic.fcs,93147,25950,236216,93147,-754,89226,"7,25","9,57","84,1","79,1","94,1","3,13","91,6",151552,"4,25E5",13682,133089,
G3 HD26_CD19-SGRP_mosaic.fcs,82894,25136,227527,81136,-860,83660,"9,35","10,5","81,8","75,7","95,2","1,91","91,7",144384,"4,20E5",6306,131162,
G5 HD26_EGFRvIII_mosaic.fcs,115215,35612,313022,126805,945,104062,"12,1","10,3","87,4","86,5","97,2","4,04","93,0",200704,378880,7483,99862,
G7 HD26_EGFRvIII-SGRP_mosaic.fcs,99670,31742,329113,128783,1031,99977,"5,80","10,5","88,5","85,3","96,5","5,38","93,7",196608,379904,6199,99501,
G9 HD26_Macs_mosaic.fcs,47990,20976,211108,70927,-1473,72679,"10,3","14,1","79,7","71,8","93,4","0,37","87,7",280576,203776,2109,42632,
H8 FMO_CD209.fcs,113801,32594,329113,125633,-271,136034,"22,8","2,99","90,1","87,3","98,1","2,43","96,1",190464,352256,5224,90607,
H9 FMO_CD206.fcs,86265,-810,327057,126805,557,115050,"20,9","4,06","87,6","1,92","97,0","5,13","95,1",191488,360448,5262,94882,
H10 FMO_Siglec1.fcs,101528,33867,317963,128783,477,"43,7","19,4","3,27","87,4","88,5","97,9","3,76","0,85",190464,360448,5467,94590,
H11 FMO_CD163.fcs,-509,27663,306234,120309,"-18,4",90892,"14,0","2,93","7,00","84,4","96,6","4,06","93,5",188416,"4,04E5",5848,106660,
H12 FMO_HLA-DR.fcs,101216,28482,-346,122942,"-70,7",93223,"15,6","2,51","85,3","82,0","2,33","4,85","93,4",187392,399360,5791,106660,
Mean,88839,43910,397437,129183,-231,51186,"12,6","8,44","84,6","84,5","93,4","2,94","80,6",192394,372833,8257,98648,
SD,29658,19016,147786,28280,779,39726,"4,82","6,09","16,1","17,7","18,6","2,02","19,5",34739,83432,5201,33620,
