file_name,target,SGRP,tumor,stim,condition,sample_id
A1 1_2911-NM_EGFRvIII-SGRP_U87_immune_cells_mCherry.fcs,EGFRvIII,SGRP,U87,Unstim,EGFRvIII_SGRP_U87,2911-NM
A2 2_2911-1R_EGFRvIII-SGRP_U87_immune_cells_mCherry.fcs,EGFRvIII,SGRP,U87,Unstim,EGFRvIII_SGRP_U87,2911-1R
A3 9_2911-1L_EGFRvIII-SGRP_U87_immune_cells_mCherry.fcs,EGFRvIII,SGRP,U87,Unstim,EGFRvIII_SGRP_U87,2911-1L
A4 10_2911-2R_EGFRvIII-SGRP_U87_immune_cells_mCherry.fcs,EGFRvIII,SGRP,U87,Unstim,EGFRvIII_SGRP_U87,2911-2R
A5 18_2911-2L_EGFRvIII-SGRP_U87_immune_cells_mCherry.fcs,EGFRvIII,SGRP,U87,Unstim,EGFRvIII_SGRP_U87,2911-2L
C1 7_2913-1L_EGFRvIII-SGRP_U251vIII_U87_immune_cells_mCherry.fcs,EGFRvIII,SGRP,U251vIII_U87,Stim,EGFRvIII_SGRP_U251vIII_U87,2913-1L
C2 8_2913-2R_EGFRvIII-SGRP_U251vIII_U87_immune_cells_mCherry.fcs,EGFRvIII,SGRP,U251vIII_U87,Stim,EGFRvIII_SGRP_U251vIII_U87,2913-2R
C3 15_2913-2L_EGFRvIII-SGRP_U251vIII_U87_immune_cells_mCherry.fcs,EGFRvIII,SGRP,U251vIII_U87,Stim,EGFRvIII_SGRP_U251vIII_U87,2913-2L
C4 16_2914-NM_EGFRvIII-SGRP_U251vIII_U87_immune_cells_mCherry.fcs,EGFRvIII,SGRP,U251vIII_U87,Stim,EGFRvIII_SGRP_U251vIII_U87,2914-NM
C5 17_2914-1R_EGFRvIII-SGRP_U251vIII_U87_immune_cells_mCherry.fcs,EGFRvIII,SGRP,U251vIII_U87,Stim,EGFRvIII_SGRP_U251vIII_U87,2914-1R
E1 3_2912-NM_CD19-SGRP_U87_immune_cells_mCherry.fcs,CD19,SGRP,U87,Unstim,CD19_SGRP_U87,2912-NM
E2 4_2912-1R_CD19-SGRP_U87_immune_cells_mCherry.fcs,CD19,SGRP,U87,Unstim,CD19_SGRP_U87,2912-1R
E3 11_2912-1L_CD19-SGRP_U87_immune_cells_mCherry.fcs,CD19,SGRP,U87,Unstim,CD19_SGRP_U87,2912-1L
E4 12_2912-2R_CD19-SGRP_U87_immune_cells_mCherry.fcs,CD19,SGRP,U87,Unstim,CD19_SGRP_U87,2912-2R
E5 19_2912-2L_CD19-SGRP_U87_immune_cells_mCherry.fcs,CD19,SGRP,U87,Unstim,CD19_SGRP_U87,2912-2L
G1 5_2913-NM_CD19-SGRP_U251vIII_U87_immune_cells_mCherry.fcs,CD19,SGRP,U251vIII_U87,Stim,CD19_SGRP_U251vIII_U87,2913-NM
G2 6_2913-1R_CD19-SGRP_U251vIII_U87_immune_cells_mCherry.fcs,CD19,SGRP,U251vIII_U87,Stim,CD19_SGRP_U251vIII_U87,2913-1R
G3 13_2914-1L_CD19-SGRP_U251vIII_U87_immune_cells_mCherry.fcs,CD19,SGRP,U251vIII_U87,Stim,CD19_SGRP_U251vIII_U87,2914-1L
G4 14_2914-2R_CD19-SGRP_U251vIII_U87_immune_cells_mCherry.fcs,CD19,SGRP,U251vIII_U87,Stim,CD19_SGRP_U251vIII_U87,2914-2R
G5 20_2914-2L_CD19-SGRP_U251vIII_U87_immune_cells_mCherry.fcs,CD19,SGRP,U251vIII_U87,Stim,CD19_SGRP_U251vIII_U87,2914-2L
